word_ko,word_en,sentence_ko,sentence_en
것,thing,그것은 중요한 것이에요.,That is an important thing.
하다,do,저는 공부해요.,I study.
있다,have,저는 책이 많이 있어요.,I have many books.
되다,become,그는 의사가 되었어요.,He has become a doctor.
나,I,저는 학교에 가요.,I go to school.
없다,not have,그 사람은 돈이 없어요.,That person does not have money.
사람,person,그곳에 많은 사람들이 있어요.,There are many people there.
우리,we,우리는 함께 가요.,We go together.
아니다,not be,그것은 사실이 아니에요.,That is not true.
같다,same,그 책은 내 책과 같아요.,That book is the same as my book.
대하다,regarding,그는 문제에 대해 말했어요.,He talked about the problem.
년,year,올해는 2023년이에요.,This year is 2023.
때문,because,저는 감기 때문에 집에 있어요.,I am at home because of the cold.
말하다,say,그는 진실을 말해요.,He tells the truth.
위하다,for,이것은 모두를 위한 것이에요.,This is for everyone.
그러나,however,"나는 가고 싶어요. 그러나, 시간이 없어요.","I want to go. However, I don't have the time."
알다,know,저는 그 사실을 알아요.,I know that fact.
그렇다,be so,"그렇다고 해서 항상 맞는 것은 아니다.","Just because it's so, doesn't always mean it's correct."
또,also,"저는 공부를 하고, 또 운동도 해요.","I study, and also exercise."
사회,society,"우리 사회는 지속적으로 발전하고 있습니다.","Our society is continuously developing."
좋다,good,"이 아이디어는 정말 좋아 보입니다.","This idea looks really good."
더,more,"더 많은 정보를 찾아보겠습니다.","I will look for more information."
받다,receive,"그녀는 생일 선물로 시계를 받았어요.","She received a watch as a birthday gift."
그것,it,"그것을 해결하기 위해 노력하겠습니다.","I will try to solve it."
집,home,"매일 학교에서 집으로 돌아옵니다.","I return home from school every day."
나오다,come out,"그는 새로운 앨범을 나오다 예정입니다.","He is set to release a new album."
그리고,and,"그녀는 똑똑하고, 그리고 매력적입니다.","She is smart, and also attractive."
문제,problem,"이 문제를 빨리 해결해야 합니다.","We need to solve this problem quickly."
그런,such,"그런 경우는 드물게 발생합니다.","Such cases occur rarely."
살다,live,"그는 서울에서 오래 살았습니다.","He has lived in Seoul for a long time."
생각하다,think,"종종 그 문제에 대해 생각합니다.","I often think about that problem."
모르다,not know,"저는 그의 결정을 모르고 있었습니다.","I was not aware of his decision."
속,inside,"그의 가방 속에는 책이 많습니다.","There are many books inside his bag."
만들다,make,"우리는 함께 케이크를 만들었습니다.","We made a cake together."
데,place,"이곳은 쉬기 좋은 데 입니다.","This is a good place to rest."
두,two,"제가 두 개의 티켓을 구매했습니다.","I bought two tickets."
